ファイル名,一回目の閾値,一回目のMP,新閾値,OTSU閾値(ある場合),最終MP,ロース芯L10
20210201084902_991012904992,109.92,0.10042019166591562,92.06127311413357,86.0,0.13532862332044154,21.0
20210202072551_991020105671,117.98,0.10028352824778107,101.13637859550269,94.0,0.15315732675418514,34.0
20210202083511_991020105201,116.12,0.027661210800254018,116.12,,0.027661210800254018,31.0
